기준_년분기_코드,상권_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
2024-01-01,금동어린이공원,한식음식점,330997361.0,10288,228708362.0,102288999.0,43205417.0,41305695.0,60822601.0,38818726.0,44555923.0,59200567.0,43088432.0,4292837.0,4833116.0,104960018.0,39138443.0,138876941.0,38896006,199319253.0,97454311.0,122655,5603455.0,26368445.0,41316848.0,103094097.0,120268063.0,7460,2828,1530,1491,1541,1305,1593,1715,1113,95,193,3958,1643,3805,594,5997,3690,7,183,905,1395,2891,4302
2024-01-01,금동어린이공원,치킨전문점,41178996.0,1029,27752012.0,13426984.0,5126135.0,5902825.0,3140729.0,4538768.0,9043555.0,5975639.0,7451345.0,5742634.0,0.0,999985.0,213589.0,17965750.0,16257038,23820033.0,12567773.0,0,2728115.0,6737763.0,9562963.0,11485266.0,5873698.0,661,368,107,137,97,126,194,183,185,117,0,39,10,493,370,582,350,0,78,194,242,243,175
2024-01-01,금동어린이공원,호프-간이주점,40044740.0,156,35168775.0,4875965.0,19432842.0,747417.0,10015388.0,2242251.0,2730877.0,3777262.0,1098703.0,4096316.0,0.0,2411823.0,23476368.0,9716421.0,343812,35831642.0,4213098.0,0,0.0,0.0,32756954.0,4096316.0,3191470.0,71,85,15,7,15,7,27,62,23,55,0,34,53,7,7,99,57,0,0,0,64,55,37
2024-01-01,금동어린이공원,커피-음료,77300557.0,17049,48586054.0,28714503.0,8680391.0,9934275.0,9137541.0,8831986.0,12001861.0,14018772.0,14695731.0,407950.0,10145653.0,25885051.0,20130947.0,13903990.0,6826966,35341987.0,32860293.0,1576451,7198551.0,16739912.0,14490929.0,15677847.0,12518592.0,10910,6139,2051,2161,2234,2081,2383,2951,3188,43,2830,5295,4861,2936,1084,8726,7273,395,1758,3796,3468,3642,2940
2024-01-01,금북초등학교,한식음식점,66912868.0,835,38235246.0,28677622.0,7290425.0,4575631.0,7988182.0,4978431.0,13402577.0,17872343.0,10805279.0,779065.0,0.0,10238814.0,7553455.0,40389032.0,7952502,39919835.0,23678097.0,0,1554180.0,8572119.0,22717189.0,18508949.0,12245494.0,532,303,58,86,119,77,192,187,116,22,0,135,70,502,106,506,293,0,33,119,264,211,172
2024-01-01,금호사거리,한식음식점,1102383550.0,16875,758271126.0,344112424.0,124370320.0,126483064.0,147179093.0,177161165.0,183077484.0,262342561.0,81769863.0,81595516.0,551623.0,117622429.0,92097521.0,499385038.0,311131423,509118986.0,411140937.0,2378307,94105015.0,215414108.0,217137412.0,207532142.0,183692942.0,12016,4859,2092,2062,2289,2681,2892,3382,1477,970,27,3551,1538,7206,3583,8831,6252,36,1466,3466,3315,3399,3395
2024-01-01,금호사거리,분식전문점,163355692.0,8652,96721031.0,66634661.0,11628570.0,43956019.0,11583685.0,6499944.0,23052813.0,38482228.0,28152433.0,39341772.0,2896632.0,14081490.0,19163920.0,35823661.0,52048217,122991455.0,39431787.0,1195287,10331499.0,24215927.0,24427786.0,92205390.0,10047354.0,4534,4118,895,709,836,735,1359,2000,2118,185,215,1448,1981,3313,1510,4522,4049,123,1233,2560,2354,1715,586
2024-01-01,금호사거리,호프-간이주점,32754769.0,151,12832911.0,19921858.0,0.0,1415766.0,1415766.0,8888991.0,1112388.0,12337395.0,7584463.0,19304987.0,0.0,0.0,0.0,0.0,13449782,30691795.0,2062974.0,0,0.0,0.0,1415766.0,19153298.0,11730637.0,90,61,0,10,20,50,10,51,10,81,0,0,0,0,70,131,20,0,0,0,10,70,60
2024-01-01,금호사거리,커피-음료,4986879.0,1028,3447719.0,1539160.0,623695.0,516622.0,888698.0,591573.0,827131.0,714706.0,824454.0,0.0,1035922.0,1389260.0,1699767.0,861930.0,0,2515012.0,2113175.0,64243,897636.0,969001.0,1008973.0,1187819.0,500516.0,723,305,161,91,166,128,177,139,166,0,145,309,371,203,0,602,399,22,183,162,211,354,70
2024-01-01,금호삼성래미안아파트,한식음식점,434899244.0,11091,320020297.0,114878947.0,61340223.0,62743288.0,81942204.0,50670058.0,63324524.0,63235364.0,51643583.0,15855180.0,11855074.0,85284054.0,90706973.0,175477699.0,55720264,218026038.0,103080546.0,1019600,20843004.0,62245846.0,73444461.0,71182144.0,92371530.0,8439,2652,1855,1751,1435,1559,1839,1481,1171,353,568,4503,1455,3065,1147,6440,3559,97,608,1942,1912,2433,3004
